id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ7-Ep0INTs5ERQ_wm2fseJKM,https://www.google.com/maps/place/?q=place_id:ChIJ7-Ep0INTs5ERQ_wm2fseJKM,Municipalidad Distrital - Tocmoche,Oficinas de empresa,"Carr. Miracosta - Tocmoche, Tocmoche 06680",,,,,"-6.412759299999999,-79.36074339999999",4.3,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJ1-UGHQ6fs5ERWIvJ16803i0,https://www.google.com/maps/place/?q=place_id:ChIJ1-UGHQ6fs5ERWIvJ16803i0,"Polleria chifa ""The king chicken""",Restaurante especializado en pollo,"Jr, 27 de Noviembre 420, Chota 06121",976 702 323,+51 976 702 323,,,"-6.5618811,-78.6491707",1,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJqzhG2lGfs5ERxTPdTrIDbSM,https://www.google.com/maps/place/?q=place_id:ChIJqzhG2lGfs5ERxTPdTrIDbSM,Pollería Gringos,Restaurante especializado en pollo,"27 de Noviembre 420, Chota 06121",950 953 070,+51 950 953 070,,,"-6.5611016,-78.64889",4.7,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJlwgdqmGfs5ERizQ_10NPV0w,https://www.google.com/maps/place/?q=place_id:ChIJlwgdqmGfs5ERizQ_10NPV0w,Restaurant Polleria 24 horas,Restaurante,"Av. Todos los Santos 401, Chota 06120",989 748 222,+51 989 748 222,,,"-6.559396,-78.6447494",5,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJfcub8ySes5ER_9ox0b3pcZY,https://www.google.com/maps/place/?q=place_id:ChIJfcub8ySes5ER_9ox0b3pcZY,Polleria ''Nilos Chicken'',Restaurante especializado en pollo,"Sta. Rosa 316, Chota 06121",976 175 417,+51 976 175 417,,,"-6.5622891,-78.6479593",3.9,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJJ366W_afs5ER99hcfLoVyh8,https://www.google.com/maps/place/?q=place_id:ChIJJ366W_afs5ER99hcfLoVyh8,Lelos Chicken,Pollería,"06121, Chota 06121",942 951 242,+51 942 951 242,,,"-6.5623822999999994,-78.65078369999999",4.7,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJKVQ92pqfs5ERTSPw3z_IULs,https://www.google.com/maps/place/?q=place_id:ChIJKVQ92pqfs5ERTSPw3z_IULs,"polleria ""EL TÍO RICKY""",Restaurante especializado en pollo,"Jr. 30 de Agosto 161, Chota 06121",963 306 646,+51 963 306 646,,,"-6.5619109,-78.64766809999999",4.6,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJ7-Ep0INTs5ERQ_wm2fseJKM,https://www.google.com/maps/place/?q=place_id:ChIJ7-Ep0INTs5ERQ_wm2fseJKM,Municipalidad Distrital - Tocmoche,Oficinas de empresa,"Carr. Miracosta - Tocmoche, Tocmoche 06680",,,,,"-6.412759299999999,-79.36074339999999",4.3,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJ1-UGHQ6fs5ERWIvJ16803i0,https://www.google.com/maps/place/?q=place_id:ChIJ1-UGHQ6fs5ERWIvJ16803i0,"Polleria chifa ""The king chicken""",Restaurante especializado en pollo,"Jr, 27 de Noviembre 420, Chota 06121",976 702 323,+51 976 702 323,,,"-6.5618811,-78.6491707",1,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJqzhG2lGfs5ERxTPdTrIDbSM,https://www.google.com/maps/place/?q=place_id:ChIJqzhG2lGfs5ERxTPdTrIDbSM,Pollería Gringos,Restaurante especializado en pollo,"27 de Noviembre 420, Chota 06121",950 953 070,+51 950 953 070,,,"-6.5611016,-78.64889",4.7,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJlwgdqmGfs5ERizQ_10NPV0w,https://www.google.com/maps/place/?q=place_id:ChIJlwgdqmGfs5ERizQ_10NPV0w,Restaurant Polleria 24 horas,Restaurante,"Av. Todos los Santos 401, Chota 06120",989 748 222,+51 989 748 222,,,"-6.559396,-78.6447494",5,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJfcub8ySes5ER_9ox0b3pcZY,https://www.google.com/maps/place/?q=place_id:ChIJfcub8ySes5ER_9ox0b3pcZY,Polleria ''Nilos Chicken'',Restaurante especializado en pollo,"Sta. Rosa 316, Chota 06121",976 175 417,+51 976 175 417,,,"-6.5622891,-78.6479593",3.9,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJJ366W_afs5ER99hcfLoVyh8,https://www.google.com/maps/place/?q=place_id:ChIJJ366W_afs5ER99hcfLoVyh8,Lelos Chicken,Pollería,"06121, Chota 06121",942 951 242,+51 942 951 242,,,"-6.5623822999999994,-78.65078369999999",4.7,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJKVQ92pqfs5ERTSPw3z_IULs,https://www.google.com/maps/place/?q=place_id:ChIJKVQ92pqfs5ERTSPw3z_IULs,"polleria ""EL TÍO RICKY""",Restaurante especializado en pollo,"Jr. 30 de Agosto 161, Chota 06121",963 306 646,+51 963 306 646,,,"-6.5619109,-78.64766809999999",4.6,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJ7-Ep0INTs5ERQ_wm2fseJKM,https://www.google.com/maps/place/?q=place_id:ChIJ7-Ep0INTs5ERQ_wm2fseJKM,Municipalidad Distrital - Tocmoche,Oficinas de empresa,"Carr. Miracosta - Tocmoche, Tocmoche 06680",,,,,"-6.412759299999999,-79.36074339999999",4.3,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJ1-UGHQ6fs5ERWIvJ16803i0,https://www.google.com/maps/place/?q=place_id:ChIJ1-UGHQ6fs5ERWIvJ16803i0,"Polleria chifa ""The king chicken""",Restaurante especializado en pollo,"Jr, 27 de Noviembre 420, Chota 06121",976 702 323,+51 976 702 323,,,"-6.5618811,-78.6491707",1,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJqzhG2lGfs5ERxTPdTrIDbSM,https://www.google.com/maps/place/?q=place_id:ChIJqzhG2lGfs5ERxTPdTrIDbSM,Pollería Gringos,Restaurante especializado en pollo,"27 de Noviembre 420, Chota 06121",950 953 070,+51 950 953 070,,,"-6.5611016,-78.64889",4.7,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJlwgdqmGfs5ERizQ_10NPV0w,https://www.google.com/maps/place/?q=place_id:ChIJlwgdqmGfs5ERizQ_10NPV0w,Restaurant Polleria 24 horas,Restaurante,"Av. Todos los Santos 401, Chota 06120",989 748 222,+51 989 748 222,,,"-6.559396,-78.6447494",5,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJfcub8ySes5ER_9ox0b3pcZY,https://www.google.com/maps/place/?q=place_id:ChIJfcub8ySes5ER_9ox0b3pcZY,Polleria ''Nilos Chicken'',Restaurante especializado en pollo,"Sta. Rosa 316, Chota 06121",976 175 417,+51 976 175 417,,,"-6.5622891,-78.6479593",3.9,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJJ366W_afs5ER99hcfLoVyh8,https://www.google.com/maps/place/?q=place_id:ChIJJ366W_afs5ER99hcfLoVyh8,Lelos Chicken,Pollería,"06121, Chota 06121",942 951 242,+51 942 951 242,,,"-6.5623822999999994,-78.65078369999999",4.7,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJKVQ92pqfs5ERTSPw3z_IULs,https://www.google.com/maps/place/?q=place_id:ChIJKVQ92pqfs5ERTSPw3z_IULs,"polleria ""EL TÍO RICKY""",Restaurante especializado en pollo,"Jr. 30 de Agosto 161, Chota 06121",963 306 646,+51 963 306 646,,,"-6.5619109,-78.64766809999999",4.6,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJ7-Ep0INTs5ERQ_wm2fseJKM,https://www.google.com/maps/place/?q=place_id:ChIJ7-Ep0INTs5ERQ_wm2fseJKM,Municipalidad Distrital - Tocmoche,Oficinas de empresa,"Carr. Miracosta - Tocmoche, Tocmoche 06680",,,,,"-6.412759299999999,-79.36074339999999",4.3,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJ1-UGHQ6fs5ERWIvJ16803i0,https://www.google.com/maps/place/?q=place_id:ChIJ1-UGHQ6fs5ERWIvJ16803i0,"Polleria chifa ""The king chicken""",Restaurante especializado en pollo,"Jr, 27 de Noviembre 420, Chota 06121",976 702 323,+51 976 702 323,,,"-6.5618811,-78.6491707",1,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJqzhG2lGfs5ERxTPdTrIDbSM,https://www.google.com/maps/place/?q=place_id:ChIJqzhG2lGfs5ERxTPdTrIDbSM,Pollería Gringos,Restaurante especializado en pollo,"27 de Noviembre 420, Chota 06121",950 953 070,+51 950 953 070,,,"-6.5611016,-78.64889",4.7,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJlwgdqmGfs5ERizQ_10NPV0w,https://www.google.com/maps/place/?q=place_id:ChIJlwgdqmGfs5ERizQ_10NPV0w,Restaurant Polleria 24 horas,Restaurante,"Av. Todos los Santos 401, Chota 06120",989 748 222,+51 989 748 222,,,"-6.559396,-78.6447494",5,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJfcub8ySes5ER_9ox0b3pcZY,https://www.google.com/maps/place/?q=place_id:ChIJfcub8ySes5ER_9ox0b3pcZY,Polleria ''Nilos Chicken'',Restaurante especializado en pollo,"Sta. Rosa 316, Chota 06121",976 175 417,+51 976 175 417,,,"-6.5622891,-78.6479593",3.9,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJJ366W_afs5ER99hcfLoVyh8,https://www.google.com/maps/place/?q=place_id:ChIJJ366W_afs5ER99hcfLoVyh8,Lelos Chicken,Pollería,"06121, Chota 06121",942 951 242,+51 942 951 242,,,"-6.5623822999999994,-78.65078369999999",4.7,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJKVQ92pqfs5ERTSPw3z_IULs,https://www.google.com/maps/place/?q=place_id:ChIJKVQ92pqfs5ERTSPw3z_IULs,"polleria ""EL TÍO RICKY""",Restaurante especializado en pollo,"Jr. 30 de Agosto 161, Chota 06121",963 306 646,+51 963 306 646,,,"-6.5619109,-78.64766809999999",4.6,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJ7-Ep0INTs5ERQ_wm2fseJKM,https://www.google.com/maps/place/?q=place_id:ChIJ7-Ep0INTs5ERQ_wm2fseJKM,Municipalidad Distrital - Tocmoche,Oficinas de empresa,"Carr. Miracosta - Tocmoche, Tocmoche 06680",,,,,"-6.412759299999999,-79.36074339999999",4.3,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJ1-UGHQ6fs5ERWIvJ16803i0,https://www.google.com/maps/place/?q=place_id:ChIJ1-UGHQ6fs5ERWIvJ16803i0,"Polleria chifa ""The king chicken""",Restaurante especializado en pollo,"Jr, 27 de Noviembre 420, Chota 06121",976 702 323,+51 976 702 323,,,"-6.5618811,-78.6491707",1,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJqzhG2lGfs5ERxTPdTrIDbSM,https://www.google.com/maps/place/?q=place_id:ChIJqzhG2lGfs5ERxTPdTrIDbSM,Pollería Gringos,Restaurante especializado en pollo,"27 de Noviembre 420, Chota 06121",950 953 070,+51 950 953 070,,,"-6.5611016,-78.64889",4.7,,"Pollería en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJhQiZ9COes5ERnv9biifoQoA,https://www.google.com/maps/place/?q=place_id:ChIJhQiZ9COes5ERnv9biifoQoA,Roque Restobar Chota,Restaurante,"Gregorio Malca 561, Chota 06121",976 743 421,+51 976 743 421,,,"-6.5605888,-78.649902",4.3,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
ChIJUQdGRSGes5ERZth5yD8fSII,https://www.google.com/maps/place/?q=place_id:ChIJUQdGRSGes5ERZth5yD8fSII,Bar Restaurant El Chinito,Restaurante,"C8QX+PFF, Jr. 30 de Agosto, Chota 06121",922 331 118,+51 922 331 118,,,"-6.560693,-78.6513338",4,,"Comida oriental en el distrito de Tocmoche, Chota, Cajamarca, Perú"
